Title_english,Title_japanese,Anime_episodes,Anime_source,Ratings,Season,Type,Studio,score,scored_by,ranked,popularity,members,links,Genres,genre
Beyond the Heavens,蒼天航路,26,Manga,R+ - Mild Nudity,Spring 2009,TV,Madhouse,7.29,3504 ,Ranked #2431,Popularity #4248,16342,https://myanimelist.net/anime/5226/Souten_Kouro,Action;Adventure;Historical,Madhouse
-,ナナ Specials,3,Manga,R - 17+ (violence & profanity),-,Special,Madhouse,6.99,7799 ,Ranked #3758,Popularity #4275,16080,https://myanimelist.net/anime/1869/Nana_Recaps,Comedy;Drama;Music;Romance;Shoujo;Slice of Life,Madhouse
-,CLAMP IN WONDERLAND,1,Manga,G - All Ages,-,Music,animate Film,6.85,9267 ,Ranked #4305,Popularity #4277,16057,https://myanimelist.net/anime/2274/CLAMP_in_Wonderland,Music,Madhouse
-,YAWARA!,124,Manga,PG-13 - Teens 13 or older,Fall 1989,TV,Madhouse,7.47,2662 ,Ranked #1718,Popularity #4281,16061,https://myanimelist.net/anime/691/Yawara,Action;Comedy;Drama;Martial Arts;Romance;Slice of Life;Sports,Madhouse
-,劇場版 オーバーロード　ぷれぷれぷれあです,2,Light novel,PG-13 - Teens 13 or older,-,Movie,Madhouse,6.86,6178 ,Ranked #4250,Popularity #4294,16049,https://myanimelist.net/anime/36497/Overlord_Movie__Ple_Ple_Pleiades,Action;Comedy;Magic;Fantasy,Madhouse
-,羊のうた,4,Manga,R - 17+ (violence & profanity),-,OVA,Madhouse,6.20,5918 ,Ranked #7564,Popularity #4333,15512,https://myanimelist.net/anime/258/Hitsuji_no_Uta,Horror;Drama;Vampire,Madhouse
-,宝島,26,Novel,PG-13 - Teens 13 or older,Fall 1978,TV,"Madhouse,             TMS Entertainment",7.93,5171 ,Ranked #649,Popularity #4343,15388,https://myanimelist.net/anime/2618/Takarajima,Adventure;Mystery;Historical;Drama,Madhouse
A Wind Named Amnesia,風の名はアムネジア,1,Light novel,R+ - Mild Nudity,-,Movie,Madhouse,6.37,6457 ,Ranked #6696,Popularity #4345,15392,https://myanimelist.net/anime/1793/Kaze_no_Na_wa_Amnesia,Action;Dementia;Drama;Sci-Fi,Madhouse
Night Warriors: Darkstalkers' Revenge,ヴァンパイアハンター,4,Game,R - 17+ (violence & profanity),-,OVA,Madhouse,6.62,5953 ,Ranked #5403,Popularity #4367,15180,https://myanimelist.net/anime/1952/Vampire_Hunter,Action;Adventure;Supernatural;Drama;Vampire;Fantasy,Madhouse
-,ハイランダー,1,Unknown,R - 17+ (violence & profanity),-,Movie,Madhouse,6.74,7610 ,Ranked #4831,Popularity #4383,15036,https://myanimelist.net/anime/2178/Highlander__The_Search_for_Vengeance,Action;Horror;Sci-Fi,Madhouse
-,Needless+ -聖リリィ学園の秘密-,12,Manga,PG-13 - Teens 13 or older,-,Special,Madhouse,6.74,6483 ,Ranked #4795,Popularity #4396,14913,https://myanimelist.net/anime/7322/Needless___Saint_Lily_Gakuen_no_Himitsu,Comedy;Ecchi;School;Seinen,Madhouse
-,ダイヤのA[エース] OAD,3,Manga,PG-13 - Teens 13 or older,-,OVA,"Production I.G,             Madhouse",7.59,6650 ,Ranked #1317,Popularity #4425,14596,https://myanimelist.net/anime/25341/Diamond_no_Ace_OVA,Comedy;Sports;School;Shounen,Madhouse
-,TRAVA FIST PLANET,4,Original,PG-13 - Teens 13 or older,-,OVA,Madhouse,6.55,5754 ,Ranked #5781,Popularity #4507,13937,https://myanimelist.net/anime/1980/Trava__Fist_Planet,Action;Comedy;Mecha;Sci-Fi;Space,Madhouse
Carried by the Wind: Tsukikage Ran,風まかせ月影蘭,13,Original,PG-13 - Teens 13 or older,Winter 2000,TV,Madhouse,7.12,4504 ,Ranked #3210,Popularity #4508,13937,https://myanimelist.net/anime/606/Kazemakase_Tsukikage_Ran,Adventure;Comedy;Historical;Martial Arts;Samurai,Madhouse
Legend of the Crystals: Final Fantasy,ファイナルファンタジー,4,Game,PG-13 - Teens 13 or older,-,OVA,Madhouse,6.10,5586 ,Ranked #8044,Popularity #4550,13723,https://myanimelist.net/anime/426/Final_Fantasy,Action;Adventure;Comedy;Fantasy,Madhouse
-,もっけ,24,Manga,PG - Children,Fall 2007,TV,"Madhouse,             Tezuka Productions",7.06,2336 ,Ranked #3490,Popularity #4600,13279,https://myanimelist.net/anime/2931/Mokke,Slice of Life;Supernatural;Mystery,Madhouse
Mai-Mai Miracle,マイマイ新子と千年の魔法,1,Novel,PG - Children,-,Movie,Madhouse,7.22,4531 ,Ranked #2763,Popularity #4692,12552,https://myanimelist.net/anime/5084/Mai_Mai_Shinko_to_Sennen_no_Mahou,Adventure;Drama,Madhouse
-,花田少年史,25,Manga,R - 17+ (violence & profanity),Fall 2002,TV,Madhouse,8.00,3408 ,Ranked #552,Popularity #4696,12541,https://myanimelist.net/anime/2004/Hanada_Shounen-shi,Comedy;Drama;Seinen;Slice of Life;Supernatural,Madhouse
Okko's Inn,映画 若おかみは小学生！,1,Novel,G - All Ages,-,Movie,"Madhouse,             DLE",7.51,5538 ,Ranked #1598,Popularity #4728,12523,https://myanimelist.net/anime/37682/Wakaokami_wa_Shougakusei_Movie,Comedy;Slice of Life;Supernatural,Madhouse
Aquarian Age: Sign for Evolution,アクエリアンエイジ Sign for Evolution,13,Card game,PG-13 - Teens 13 or older,Winter 2002,TV,Madhouse,6.10,3864 ,Ranked #8028,Popularity #4761,12140,https://myanimelist.net/anime/1224/Aquarian_Age__Sign_for_Evolution,Action;Sci-Fi;Adventure;Music;Super Power;Supernatural;Romance;Fantasy;Shounen,Madhouse
-,ACCA13区監察課 Regards,1,Manga,PG-13 - Teens 13 or older,-,OVA,Madhouse,7.16,4253 ,Ranked #3010,Popularity #4766,12222,https://myanimelist.net/anime/39610/ACCA__13-ku_Kansatsu-ka_-_Regards,Mystery;Police;Drama;Fantasy;Seinen,Madhouse
-,CLOVER,1,Manga,PG-13 - Teens 13 or older,-,Music,Madhouse,6.80,6085 ,Ranked #4540,Popularity #4793,11999,https://myanimelist.net/anime/1890/Clover,Drama;Fantasy;Music;Sci-Fi;Shoujo,Madhouse
-,D・N・A2～何処かで失くしたあいつのアイツ～ (1995),3,Manga,PG-13 - Teens 13 or older,-,OVA,Madhouse,6.55,6250 ,Ranked #5751,Popularity #4868,11574,https://myanimelist.net/anime/1187/DNA²_OVA,Comedy;Drama;Sci-Fi,Madhouse
X: An Omen,X -エックス-第零話 予兆,1,Manga,PG-13 - Teens 13 or older,-,OVA,Madhouse,6.84,5582 ,Ranked #4361,Popularity #4871,11538,https://myanimelist.net/anime/595/X_OVA,Mystery;Supernatural;Drama;Romance;Fantasy,Madhouse
-,家なき子,51,Novel,G - All Ages,Fall 1977,TV,"Madhouse,             TMS Entertainment",7.79,3425 ,Ranked #864,Popularity #4895,11415,https://myanimelist.net/anime/2828/Ie_Naki_Ko,Adventure;Drama;Historical;Kids;Slice of Life,Madhouse
Oh! Edo Rocket,大江戸ロケット,26,Other,PG-13 - Teens 13 or older,Spring 2007,TV,Madhouse,7.21,3684 ,Ranked #2796,Popularity #4909,11322,https://myanimelist.net/anime/2152/Oh_Edo_Rocket,Comedy;Drama;Fantasy;Historical;Sci-Fi,Madhouse
-,絶愛-1989-,1,Manga,R+ - Mild Nudity,-,OVA,Madhouse,6.39,5732 ,Ranked N/A,Popularity #4935,11165,https://myanimelist.net/anime/1041/Zetsuai_1989,Drama;Music;Romance;Sports;Yaoi,Madhouse
-,バイオ・ハンター,1,Manga,R+ - Mild Nudity,-,OVA,Madhouse,5.93,4871 ,Ranked #8752,Popularity #4949,11050,https://myanimelist.net/anime/1269/Bio_Hunter,Action;Demons;Horror,Madhouse
-,セクシーコマンドー外伝 すごいよ!! マサルさん,48,Manga,R - 17+ (violence & profanity),Winter 1998,TV,Magic Bus,7.70,2705 ,Ranked #1033,Popularity #4960,10997,https://myanimelist.net/anime/582/Sexy_Commando_Gaiden__Sugoi_yo_Masaru-san,Comedy;Martial Arts;School;Shounen,Madhouse
-,PERFECT DAY,1,Unknown,G - All Ages,-,Music,Madhouse,7.38,6375 ,Ranked #2004,Popularity #5005,10726,https://myanimelist.net/anime/10445/Perfect_Day,Music,Madhouse
Miyuki-chan in Wonderland,不思議の国の美幸ちゃん,2,Manga,R+ - Mild Nudity,-,OVA,Madhouse,5.71,5349 ,Ranked #9498,Popularity #5029,10611,https://myanimelist.net/anime/1496/Fushigi_no_Kuni_no_Miyuki-chan,Comedy;Ecchi;Fantasy;Shoujo Ai,Madhouse
-,BTOOOM! 爆殺ダイジェスト,2,Manga,R - 17+ (violence & profanity),-,ONA,Madhouse,5.85,1772 ,Ranked #9013,Popularity #5044,10614,https://myanimelist.net/anime/40379/Btooom__Bakusatsu_Digest,Action,Madhouse
-,怪物王女　第26話「昏睡王女」,1,Manga,PG-13 - Teens 13 or older,-,Special,Madhouse,7.00,4725 ,Ranked #3743,Popularity #5048,10518,https://myanimelist.net/anime/4082/Kaibutsu_Oujo__Konsui_Oujo,Action;Comedy;Horror;Supernatural;Vampire;Shounen,Madhouse
-,ザ・コクピット,3,Manga,PG-13 - Teens 13 or older,-,OVA,Madhouse,7.21,4195 ,Ranked #2813,Popularity #5098,10241,https://myanimelist.net/anime/2500/The_Cockpit,Historical;Military,Madhouse
Devil Hunter Yohko,魔物ハンター妖子,6,Original,R+ - Mild Nudity,-,OVA,Madhouse,6.28,3752 ,Ranked #7171,Popularity #5121,10143,https://myanimelist.net/anime/1280/Mamono_Hunter_Youko,Fantasy;Magic;Comedy;Supernatural;Horror,Madhouse
-,エースをねらえ!,26,Manga,PG-13 - Teens 13 or older,Fall 1973,TV,"Madhouse,             Tokyo Movie Shinsha",7.01,2313 ,Ranked #3679,Popularity #5160,9948,https://myanimelist.net/anime/311/Ace_wo_Nerae,Sports;Drama;Romance;School;Shoujo,Madhouse
Patlabor Movie 3: WXIII,WXIII 機動警察パトレイバー,1,Original,R - 17+ (violence & profanity),-,Movie,Madhouse,6.73,4705 ,Ranked #4885,Popularity #5165,9920,https://myanimelist.net/anime/1290/WXIII_Kidou_Keisatsu_Patlabor,Sci-Fi;Police;Mecha,Madhouse
-,TOKYO TRIBE 2,13,Unknown,R+ - Mild Nudity,Fall 2006,TV,Madhouse,6.71,2201 ,Ranked #4971,Popularity #5170,9907,https://myanimelist.net/anime/1703/Tokyo_Tribe_2,Action;Drama,Madhouse
Barefoot Gen 2,はだしのゲン　２,1,Manga,PG-13 - Teens 13 or older,-,Movie,Madhouse,7.36,4397 ,Ranked #2120,Popularity #5184,9855,https://myanimelist.net/anime/1825/Hadashi_no_Gen_2,Drama;Historical;Shounen,Madhouse
Jubei-chan 2: The Counterattack of Siberia Yagyu,十兵衛ちゃん2 ～シベリア柳生の逆襲～,13,Original,PG-13 - Teens 13 or older,Winter 2004,TV,Madhouse,6.85,3696 ,Ranked #4319,Popularity #5217,9658,https://myanimelist.net/anime/636/Juubee-chan_2__Siberia_Yagyuu_no_Gyakushuu,Adventure;Comedy;Drama;Martial Arts;Samurai;Shounen,Madhouse
Mirage of Blaze: Rebels of the River Edge,炎の蜃気楼～みなぎわの反逆者～,3,Light novel,R - 17+ (violence & profanity),-,OVA,Madhouse,6.86,3653 ,Ranked #4292,Popularity #5264,9432,https://myanimelist.net/anime/1020/Honoo_no_Mirage__Minagiwa_no_Hangyakusha,Action;Romance;Supernatural;Historical;Drama;Shoujo;Shounen Ai,Madhouse
-,モンスター EXTRA,1,Manga,R - 17+ (violence & profanity),-,Special,Madhouse,6.65,3871 ,Ranked #5253,Popularity #5267,9417,https://myanimelist.net/anime/1109/Monster_Extra__Hottan,Drama;Horror;Mystery;Seinen,Madhouse
Magic User's Club,魔法使いTai!,13,Unknown,PG-13 - Teens 13 or older,Summer 1999,TV,"Madhouse,             Production Reed",6.77,2938 ,Ranked #4668,Popularity #5299,9266,https://myanimelist.net/anime/630/Mahoutsukai_Tai_TV,Sci-Fi;Comedy;Magic;Romance;School,Madhouse
-,アフロサムライ,1,Original,R+ - Mild Nudity,-,Special,Madhouse,6.71,4162 ,Ranked #4927,Popularity #5316,9194,https://myanimelist.net/anime/27939/Afro_Samurai_Pilot,Action;Martial Arts;Samurai;Seinen,Madhouse
The Ambition of Oda Nobuna,織田信奈の野望 総集編,1,Light novel,PG-13 - Teens 13 or older,-,Special,Madhouse,6.97,2904 ,Ranked #3833,Popularity #5351,9088,https://myanimelist.net/anime/15719/Oda_Nobuna_no_Yabou_Recap,Comedy;Historical;Romance,Madhouse
-,ギャラクシーエンジェルＺ,9,Original,PG - Children,Winter 2002,TV,Madhouse,7.16,4263 ,Ranked #3024,Popularity #5352,9069,https://myanimelist.net/anime/652/Galaxy_Angel_Z,Sci-Fi;Comedy,Madhouse
-,こばと。 はじめてのこばと。,8,Manga,G - All Ages,-,Special,Madhouse,6.83,3084 ,Ranked #4401,Popularity #5376,8953,https://myanimelist.net/anime/10098/Kobato__Hajimete_no_Kobato,Fantasy;Comedy;Drama,Madhouse
-,人間失格 ディレクターズカット版,1,Novel,R - 17+ (violence & profanity),-,Movie,Madhouse,7.51,1654 ,Ranked #1589,Popularity #5397,8881,https://myanimelist.net/anime/7651/Ningen_Shikkaku__Directors_Cut-ban,Drama;Historical;Psychological;Seinen,Madhouse
-,ダイヤのA[エース]～Second Season OAD～,2,Manga,PG-13 - Teens 13 or older,-,OVA,"Production I.G,             Madhouse",7.60,3610 ,Ranked #1295,Popularity #5421,8839,https://myanimelist.net/anime/34349/Diamond_no_Ace__Second_Season_OVA,Comedy;Sports;School;Shounen,Madhouse
-,"仮面のメイドガイ あの夏, いちばん豊か乳。",1,Unknown,R+ - Mild Nudity,-,OVA,Madhouse,6.83,4473 ,Ranked #4400,Popularity #5475,8605,https://myanimelist.net/anime/5045/Kamen_no_Maid_Guy__Ano_Natsu_Ichiban_Yutaka_na_Chichi,Action;Comedy;Ecchi,Madhouse
Goku: Midnight Eye,MIDNIGHT EYE　ゴクウ,1,Manga,R+ - Mild Nudity,-,OVA,Madhouse,6.45,3367 ,Ranked #6301,Popularity #5490,8531,https://myanimelist.net/anime/1879/Midnight_Eye__Gokuu,Action;Sci-Fi;Mystery;Seinen,Madhouse
-,ギャラクシーエンジェルＡＡ,26,Original,PG - Children,Fall 2002,TV,Madhouse,7.29,3662 ,Ranked #2402,Popularity #5511,8455,https://myanimelist.net/anime/653/Galaxy_Angel_3,Comedy;Sci-Fi,Madhouse
-,レッドライン,1,Original,PG-13 - Teens 13 or older,-,Special,Madhouse,6.70,3658 ,Ranked #4981,Popularity #5578,8181,https://myanimelist.net/anime/11483/Redline_Pilot,Cars;Sports,Madhouse
-,ACCA 13区監察課,6,Manga,PG-13 - Teens 13 or older,-,Special,Madhouse,6.79,2217 ,Ranked #4556,Popularity #5606,8139,https://myanimelist.net/anime/35720/ACCA__13-ku_Kansatsu-ka_Specials,Slice of Life;Seinen,Madhouse
Nasu: Summer in Andalusia,茄子 アンダルシアの夏,1,Manga,PG-13 - Teens 13 or older,-,Movie,"Madhouse,             Telecom Animation Film",7.01,3534 ,Ranked #3701,Popularity #5624,8052,https://myanimelist.net/anime/1209/Nasu__Andalusia_no_Natsu,Action;Sports;Seinen,Madhouse
-,夢使い,12,Manga,PG - Children,Spring 2006,TV,Madhouse,6.43,2115 ,Ranked #6435,Popularity #5649,7961,https://myanimelist.net/anime/943/Yume_Tsukai,Drama;Fantasy;Magic;Slice of Life,Madhouse
Doomed Megalopolis,帝都物語,4,Novel,R+ - Mild Nudity,-,OVA,Madhouse,5.96,2250 ,Ranked #8635,Popularity #5672,7897,https://myanimelist.net/anime/1148/Teito_Monogatari,Historical;Horror;Supernatural,Madhouse
-,マスターキートン,15,Manga,R - 17+ (violence & profanity),-,OVA,Madhouse,7.75,2233 ,Ranked #940,Popularity #5715,7756,https://myanimelist.net/anime/1910/Master_Keaton_OVA,Adventure;Drama;Historical;Mystery;Seinen;Slice of Life,Madhouse
Twilight Of The Dark Master,支配者の黄昏,1,Manga,R+ - Mild Nudity,-,OVA,"Madhouse,             Production Reed",5.82,3200 ,Ranked #9094,Popularity #5726,7724,https://myanimelist.net/anime/1245/Shihaisha_no_Tasogare,Action;Sci-Fi;Horror;Demons;Supernatural;Drama;Shoujo,Madhouse
-,ギャラクシーエンジェル4,13,Game,PG - Children,Summer 2004,TV,"Madhouse,             feel.",7.20,2758 ,Ranked #2848,Popularity #5935,7069,https://myanimelist.net/anime/655/Galaxy_Angel_4,Comedy;Sci-Fi,Madhouse
Iron Man: Rise of Technovore,アイアンマン：ライズ・オブ・テクノヴォア,1,Other,PG-13 - Teens 13 or older,-,OVA,Madhouse,6.19,3368 ,Ranked #7592,Popularity #6002,6910,https://myanimelist.net/anime/15847/Iron_Man__Rise_of_Technovore,Action;Mecha,Madhouse
Reign: The Conqueror,アレクサンダー戦記,13,Novel,R+ - Mild Nudity,Summer 1999,TV,Madhouse,5.70,2718 ,Ranked #9520,Popularity #6007,6885,https://myanimelist.net/anime/1442/Alexander_Senki,Action;Adventure;Fantasy;Historical;Sci-Fi;Supernatural,Madhouse
Junk Boy,ジャンクボーイ,1,Manga,R+ - Mild Nudity,-,OVA,Madhouse,5.94,3209 ,Ranked #8741,Popularity #6019,6858,https://myanimelist.net/anime/3889/Junk_Boy,Comedy;Romance;Ecchi,Madhouse
-,SPACE PIRATE CAPTAIN HERLOCK OUTSIDE LEGEND ~The Endless Odyssey~,13,Unknown,PG-13 - Teens 13 or older,-,OVA,Madhouse,7.35,2162 ,Ranked #2163,Popularity #6044,6759,https://myanimelist.net/anime/1081/Space_Pirate_Captain_Herlock__Outside_Legend_-_The_Endless_Odyssey,Action;Adventure;Space;Drama;Sci-Fi;Seinen,Madhouse
The Diary of Anne Frank,アンネの日記,1,Unknown,PG-13 - Teens 13 or older,-,Movie,Madhouse,6.81,1998 ,Ranked #4476,Popularity #6079,6655,https://myanimelist.net/anime/3829/Anne_no_Nikki,Drama;Historical,Madhouse
Mermaid's Scar,人魚の傷,1,Manga,R - 17+ (violence & profanity),-,OVA,Madhouse,6.80,2572 ,Ranked #4555,Popularity #6090,6622,https://myanimelist.net/anime/2017/Mermaids_Scar,Drama;Fantasy;Horror;Mystery,Madhouse
-,"チーズスイートホーム チーとコッチ, 出会う.",1,Manga,G - All Ages,-,OVA,Madhouse,7.34,2880 ,Ranked #2198,Popularity #6111,6561,https://myanimelist.net/anime/7972/Chis_Sweet_Home__Chi_to_Kocchi_Deau,Slice of Life;Comedy;Kids,Madhouse
-,魍魎の匣,1,Novel,R - 17+ (violence & profanity),-,Special,Madhouse,6.64,3243 ,Ranked #5273,Popularity #6157,6431,https://myanimelist.net/anime/6736/Mouryou_no_Hako__Chuuzenji_Atsuko_no_Jikenbo_-_Hako_no_Yurei_no_Koto,Mystery;Seinen;Supernatural;Thriller,Madhouse
-,ちはやふる 3 十五.五首（総集編）,1,Manga,PG-13 - Teens 13 or older,-,Special,Madhouse,6.69,2051 ,Ranked #5035,Popularity #6165,6480,https://myanimelist.net/anime/41105/Chihayafuru_3__Ima_Hitotabi_no,Game;Slice of Life;Sports;Drama;School;Josei,Madhouse
Fairy Musketeers,おとぎ銃士 赤ずきん,39,Original,PG-13 - Teens 13 or older,Summer 2006,TV,Madhouse,6.93,1286 ,Ranked #3993,Popularity #6232,6226,https://myanimelist.net/anime/607/Otogi_Juushi_Akazukin,Adventure;Comedy;Fantasy,Madhouse
Magical Meow Meow Taruto,魔法少女猫[まじかる にゃん にゃん]たると,12,Unknown,G - All Ages,Summer 2001,TV,"Madhouse,             TNK",6.21,1652 ,Ranked #7503,Popularity #6246,6183,https://myanimelist.net/anime/952/Magical_Nyan_Nyan_Taruto,Comedy;Magic,Madhouse
Shingu: Secret of the Stellar Wars,学園戦記ムリョウ,26,Original,PG-13 - Teens 13 or older,Spring 2001,TV,Madhouse,7.03,1465 ,Ranked #3604,Popularity #6285,6094,https://myanimelist.net/anime/1179/Gakuen_Senki_Muryou,Sci-Fi;Adventure;Space;Supernatural;Mecha;Shounen,Madhouse
-,デ・ジ・キャラットにょ,104,Unknown,G - All Ages,Spring 2003,TV,Madhouse,7.04,1754 ,Ranked #3570,Popularity #6290,6087,https://myanimelist.net/anime/1683/Di_Gi_Charat_Nyo,Comedy;Fantasy;Sci-Fi,Madhouse
Ultraviolet: Code 044,ウルトラヴァイオレットコード044,12,Other,R - 17+ (violence & profanity),Summer 2008,TV,Madhouse,5.89,1010 ,Ranked #8888,Popularity #6335,5984,https://myanimelist.net/anime/4264/Ultraviolet__Code_044,Action;Sci-Fi,Madhouse
-,カムイの剣,1,Novel,PG-13 - Teens 13 or older,-,Movie,Madhouse,6.62,1823 ,Ranked #5423,Popularity #6499,5615,https://myanimelist.net/anime/496/Kamui_no_Ken,Adventure;Historical;Drama;Fantasy;Shounen,Madhouse
Okko's Inn,若おかみは小学生！,24,Novel,G - All Ages,Spring 2018,TV,"Madhouse,             DLE",6.58,1070 ,Ranked #5586,Popularity #6510,5614,https://myanimelist.net/anime/37433/Wakaokami_wa_Shougakusei,Comedy;Slice of Life;Supernatural,Madhouse
Urusei Yatsura Movie 6: Always My Darling,うる星やつら いつだって・マイ・ダーリン,1,Manga,PG-13 - Teens 13 or older,-,Movie,Madhouse,6.84,1958 ,Ranked #4358,Popularity #6600,5396,https://myanimelist.net/anime/1925/Urusei_Yatsura_Movie_6__Itsudatte_My_Darling,Action;Sci-Fi;Adventure;Comedy;Drama;Romance,Madhouse
The Tibetan Dog,チベット犬物語,1,Unknown,G - All Ages,-,Movie,Madhouse,7.28,1865 ,Ranked #2458,Popularity #6616,5355,https://myanimelist.net/anime/10629/Tibet_Inu_Monogatari,Adventure,Madhouse
Stitch!,スティッチ！,25,Other,PG - Children,Fall 2008,TV,Madhouse,6.07,1802 ,Ranked #8204,Popularity #6731,5131,https://myanimelist.net/anime/5027/Stitch,Adventure;Comedy;Kids,Madhouse
-,うる星やつら,11,Manga,PG-13 - Teens 13 or older,-,OVA,"Madhouse,             Studio Deen,             Magic Bus",7.38,1853 ,Ranked #2018,Popularity #6768,5051,https://myanimelist.net/anime/1919/Urusei_Yatsura_OVA,Sci-Fi;Adventure;Comedy,Madhouse
-,夏への扉,1,Manga,PG-13 - Teens 13 or older,-,Movie,"Madhouse,             Toei Animation",6.01,1725 ,Ranked #8451,Popularity #6839,4943,https://myanimelist.net/anime/2621/Natsu_e_no_Tobira,Drama;Romance;Shoujo;Shounen Ai,Madhouse
-,チャンス　トライアングルセッション,13,Radio,PG-13 - Teens 13 or older,Spring 2001,TV,Madhouse,6.52,1594 ,Ranked #5924,Popularity #6897,4833,https://myanimelist.net/anime/2495/Chance_Triangle_Session,Slice of Life;Music;Drama,Madhouse
-,BRONZE KoJI NANJo cathexis,1,Manga,PG-13 - Teens 13 or older,-,OVA,Madhouse,6.22,2121 ,Ranked #7457,Popularity #6901,4829,https://myanimelist.net/anime/3007/Bronze__Kouji_Nanjo_Cathexis,Music;Shounen Ai,Madhouse
Harmagedon,幻魔大戦,1,Manga,R - 17+ (violence & profanity),-,Movie,Madhouse,5.14,1623 ,Ranked #10925,Popularity #6940,4757,https://myanimelist.net/anime/1626/Genma_Taisen,Action;Adventure;Comedy;Drama;Mecha;Sci-Fi;Shounen,Madhouse
Marvel Avengers Confidential: Black Widow & Punisher,アベンジャーズ コンフィデンシャル: ブラックウィドウとパニッシャー,1,Other,PG-13 - Teens 13 or older,-,Movie,Madhouse,6.31,2283 ,Ranked #6979,Popularity #6966,4717,https://myanimelist.net/anime/25457/Avengers_Confidential__Black_Widow_to_Punisher,Action;Sci-Fi;Seinen,Madhouse
Phantom Quest Corp.,幽幻怪社,4,Original,PG-13 - Teens 13 or older,-,OVA,Madhouse,6.47,1638 ,Ranked #6204,Popularity #6968,4721,https://myanimelist.net/anime/599/Yuugen_Kaisha,Action;Adventure;Comedy;Super Power;Supernatural;Magic;Vampire,Madhouse
-,ぱにょぱにょ　デ・ジ・キャラット,48,Unknown,G - All Ages,Winter 2002,TV,Madhouse,6.67,1404 ,Ranked #5159,Popularity #6972,4716,https://myanimelist.net/anime/1597/Panyo_Panyo_Di_Gi_Charat,Comedy,Madhouse
-,吸血鬼すぐ死ぬ,Unknown,Manga,None,Fall 2021,TV,Madhouse,N/A,- user,Ranked N/A,Popularity #7022,4997,https://myanimelist.net/anime/41833/Kyuuketsuki_Sugu_Shinu,Comedy;Supernatural;Vampire;Shounen,Madhouse
-,X² ダブルエックス,1,Manga,PG-13 - Teens 13 or older,-,Music,Madhouse,6.49,1921 ,Ranked #6100,Popularity #7076,4527,https://myanimelist.net/anime/2729/X²__Double_X,Music;Drama;Shoujo,Madhouse
-,彩雲国物語 彩雲国絵巻,9,Light novel,PG-13 - Teens 13 or older,-,Special,Madhouse,7.24,1089 ,Ranked #2643,Popularity #7077,4528,https://myanimelist.net/anime/2193/Saiunkoku_Monogatari_Recaps,Adventure;Comedy;Historical;Drama;Romance;Fantasy,Madhouse
Goku II: Midnight Eye,MIDNIGHT EYE　ゴクウII,1,Manga,R+ - Mild Nudity,-,OVA,Madhouse,6.23,2389 ,Ranked #7412,Popularity #7089,4519,https://myanimelist.net/anime/1880/Midnight_Eye__Gokuu_II,Action;Sci-Fi;Adventure;Mystery;Super Power;Seinen,Madhouse
The Fantastic Adventures Of Unico,ユニコ,1,Manga,G - All Ages,-,Movie,Madhouse,7.14,1851 ,Ranked #3105,Popularity #7143,4457,https://myanimelist.net/anime/2427/Unico,Adventure;Fantasy;Kids,Madhouse
-,メイプルストーリー,25,Game,PG - Children,Fall 2007,TV,Madhouse,5.30,1118 ,Ranked #10620,Popularity #7197,4370,https://myanimelist.net/anime/2719/MapleStory,Action;Kids;Fantasy;Comedy;Romance,Madhouse
Bride of Deimos,悪魔の花嫁 蘭の組曲,1,Manga,R - 17+ (violence & profanity),-,OVA,Madhouse,5.68,1689 ,Ranked #9582,Popularity #7198,4366,https://myanimelist.net/anime/5918/Deimos_no_Hanayome__Ran_no_Kumikyoku,Mystery;Horror;Demons;Psychological;Supernatural;Drama;Magic;Fantasy;Shoujo,Madhouse
Psycho Diver: Soul Siren,サイコダイバー 魔性菩薩,1,Unknown,R+ - Mild Nudity,-,OVA,Madhouse,5.69,1541 ,Ranked #9561,Popularity #7252,4310,https://myanimelist.net/anime/1767/Psycho_Diver__Mashou_Bosatsu,Horror;Psychological;Sci-Fi,Madhouse
-,セイント・ビースト～幾千の昼と夜 編～,2,Unknown,PG-13 - Teens 13 or older,-,OVA,Madhouse,6.27,1166 ,Ranked #7214,Popularity #7784,3486,https://myanimelist.net/anime/3004/Saint_Beast__Ikusen_no_Hiru_to_Yoru-hen,Magic;Fantasy,Madhouse
