Title_english,Title_japanese,Anime_episodes,Anime_source,Ratings,Season,Type,Studio,score,scored_by,ranked,popularity,members,links,Genres,genre
-,マーベル フューチャー・アベンジャーズ,26,Other,PG - Children,Summer 2017,TV,Madhouse,5.56,438 ,Ranked #9959,Popularity #7886,3390,https://myanimelist.net/anime/34975/Marvel_Future_Avengers,Action;Super Power;Kids,Madhouse
-,スーパードール リカちゃん,52,Other,G - All Ages,Fall 1998,TV,Madhouse,6.55,1042 ,Ranked #5776,Popularity #7928,3303,https://myanimelist.net/anime/2766/Super_Doll_Licca-chan,Adventure;Magic;Comedy,Madhouse
-,時空[とき]の旅人 Time Stranger,1,Novel,PG-13 - Teens 13 or older,-,Movie,Madhouse,6.05,890 ,Ranked #8302,Popularity #7950,3273,https://myanimelist.net/anime/3115/Toki_no_Tabibito__Time_Stranger,Action;Adventure;Romance;Sci-Fi,Madhouse
-,NINETEEN 19,1,Manga,R - 17+ (violence & profanity),-,OVA,Madhouse,6.08,1238 ,Ranked #8109,Popularity #7957,3273,https://myanimelist.net/anime/2468/Nineteen_19,Romance;Drama,Madhouse
-,ボビーに首ったけ,1,Novel,PG-13 - Teens 13 or older,-,Movie,Madhouse,6.01,1213 ,Ranked #8427,Popularity #7997,3210,https://myanimelist.net/anime/3120/Bobby_ni_Kubittake,Drama;Romance;Slice of Life,Madhouse
Aim for the Ace! (1979),エースをねらえ！,1,Unknown,PG-13 - Teens 13 or older,-,Movie,Madhouse,6.81,1300 ,Ranked #4474,Popularity #8003,3208,https://myanimelist.net/anime/313/Ace_wo_Nerae_1979,Sports;Drama;Romance;School;Shoujo,Madhouse
Aquarian Age: The Movie,アクエリアンエイジ Saga II ~Don't forget me...~,1,Card game,PG-13 - Teens 13 or older,-,OVA,Madhouse,5.80,918 ,Ranked #9173,Popularity #8026,3175,https://myanimelist.net/anime/1268/Aquarian_Age__Saga_II_-_Dont_Forget_Me,Action;Super Power;Drama,Madhouse
Nasu: A Migratory Bird with Suitcase,茄子 スーツケースの渡り鳥,1,Manga,PG-13 - Teens 13 or older,-,OVA,Madhouse,7.12,1424 ,Ranked #3183,Popularity #8036,3170,https://myanimelist.net/anime/3111/Nasu__Suitcase_no_Wataridori,Drama;Seinen;Sports,Madhouse
-,Di Gi Charat クリスマススペシャル,1,Unknown,G - All Ages,-,Special,Madhouse,6.57,1487 ,Ranked #5630,Popularity #8161,3005,https://myanimelist.net/anime/1757/Di_Gi_Charat_Christmas_Special,Comedy,Madhouse
-,宇宙よりも遠い場所 予告 WEB限定,13,Original,PG-13 - Teens 13 or older,-,ONA,Madhouse,6.56,979 ,Ranked #5700,Popularity #8164,3037,https://myanimelist.net/anime/37123/Sora_yori_mo_Tooi_Basho__Yokoku,Slice of Life;Comedy,Madhouse
Rail of the Star: A True Story of Children,お星さまのレール,1,Novel,G - All Ages,-,Movie,Madhouse,7.06,850 ,Ranked #3436,Popularity #8186,2980,https://myanimelist.net/anime/1329/Ohoshi-sama_no_Rail,Historical;Drama,Madhouse
Di Gi Charat Movie: A Trip To The Planet,劇場版　Di Gi Charat[デ・ジ・キャラット]　星の旅,1,Unknown,PG-13 - Teens 13 or older,-,Movie,Madhouse,6.56,1252 ,Ranked #5720,Popularity #8209,2951,https://myanimelist.net/anime/1752/Di_Gi_Charat__Hoshi_no_Tabi,Comedy,Madhouse
-,ギャラクシーエンジェル ミュージックコレクション 硝煙と紫煙のカスレ,1,Unknown,PG-13 - Teens 13 or older,-,OVA,Madhouse,6.93,1132 ,Ranked #3976,Popularity #8255,2883,https://myanimelist.net/anime/2206/Galaxy_Angel_Music_Collection__Shouen_to_Shien_no_Cassoulet,Sci-Fi;Comedy,Madhouse
Phoenix: Karma Chapter,火の鳥　鳳凰編,1,Manga,R+ - Mild Nudity,-,Movie,Madhouse,6.85,1106 ,Ranked #4315,Popularity #8264,2879,https://myanimelist.net/anime/2997/Hi_no_Tori__Houou-hen,Historical;Drama;Fantasy,Madhouse
-,X電車で行こう,1,Novel,R - 17+ (violence & profanity),-,OVA,Madhouse,5.77,1110 ,Ranked #9313,Popularity #8281,2861,https://myanimelist.net/anime/1973/X_Densha_de_Ikou,Mystery;Dementia;Supernatural,Madhouse
-,SF新世紀 レンズマン,1,Book,PG-13 - Teens 13 or older,-,Movie,Madhouse,6.13,1169 ,Ranked #7910,Popularity #8384,2752,https://myanimelist.net/anime/2770/SF_Shinseiki_Lensman,Action;Sci-Fi;Adventure;Space,Madhouse
-,太陽の黙示録 A Spirit of the Sun,2,Manga,R - 17+ (violence & profanity),-,Special,Madhouse,6.91,759 ,Ranked #4077,Popularity #8432,2698,https://myanimelist.net/anime/1857/Taiyou_no_Mokushiroku__A_Spirit_of_the_Sun,Drama;Sci-Fi,Madhouse
-,Di Gi Charat サマースペシャル2000,4,Unknown,G - All Ages,-,Special,Madhouse,6.47,1241 ,Ranked #6166,Popularity #8453,2679,https://myanimelist.net/anime/1754/Di_Gi_Charat_Summer_Special_2000,Comedy,Madhouse
-,スウィート・ヴァレリアン,18,Original,G - All Ages,Summer 2004,TV,Madhouse,5.77,842 ,Ranked #9307,Popularity #8566,2573,https://myanimelist.net/anime/2727/Sweet_Valerian,Action;Comedy;Magic;School;Shoujo,Madhouse
-,火聖旅団[ファイアーフォース]ダナサイト９９９．９[フォーナイン],1,Manga,PG-13 - Teens 13 or older,-,OVA,Madhouse,6.05,737 ,Ranked #8264,Popularity #8621,2526,https://myanimelist.net/anime/2019/DNA_Sights_9999,Action;Adventure;Drama;Sci-Fi,Madhouse
-,なつきクライシス,2,Manga,PG-13 - Teens 13 or older,-,OVA,Madhouse,6.22,934 ,Ranked #7435,Popularity #8666,2485,https://myanimelist.net/anime/2083/Natsuki_Crisis,Action;Martial Arts;School,Madhouse
-,B[ボンバーマン]ビーダマン爆外伝,48,Game,PG - Children,Winter 1998,TV,Madhouse,6.46,1018 ,Ranked #6236,Popularity #8667,2480,https://myanimelist.net/anime/1672/Bomberman_B-Daman_Bakugaiden,Sci-Fi;Comedy;Shounen,Madhouse
The Phoenix -Space-,火の鳥　宇宙編,1,Manga,PG-13 - Teens 13 or older,-,OVA,Madhouse,6.94,908 ,Ranked #3956,Popularity #8690,2452,https://myanimelist.net/anime/2998/Hi_no_Tori__Uchuu-hen,Sci-Fi;Space;Drama;Fantasy,Madhouse
-,あずきちゃん,117,Manga,G - All Ages,Spring 1995,TV,Madhouse,6.73,798 ,Ranked #4843,Popularity #8709,2442,https://myanimelist.net/anime/1893/Azuki-chan,Comedy;Romance;Shoujo;Slice of Life,Madhouse
-,Di Gi Charat お花見すぺしゃる,4,Unknown,G - All Ages,-,Special,Madhouse,6.63,1069 ,Ranked #5344,Popularity #8713,2440,https://myanimelist.net/anime/1755/Di_Gi_Charat_Ohanami_Special,Comedy,Madhouse
Unico in the Island of Magic,ユニコ 魔法の島へ,1,Manga,G - All Ages,-,Movie,Madhouse,7.01,1103 ,Ranked #3716,Popularity #8717,2436,https://myanimelist.net/anime/2429/Unico__Mahou_no_Shima_e,Adventure;Fantasy;Kids,Madhouse
Tree in the Sun,陽だまりの樹,25,Manga,R+ - Mild Nudity,Spring 2000,TV,Madhouse,6.89,317 ,Ranked #4150,Popularity #8797,2341,https://myanimelist.net/anime/2694/Hidamari_no_Ki,Action;Historical;Drama;Samurai;Seinen,Madhouse
-,月のワルツ,1,Original,G - All Ages,-,Music,Madhouse,6.47,1359 ,Ranked #6199,Popularity #8809,2328,https://myanimelist.net/anime/6137/Tsuki_no_Waltz,Music;Kids,Madhouse
A-Girl,A-Girl [エー・ガール],1,Manga,PG-13 - Teens 13 or older,-,OVA,Madhouse,5.60,880 ,Ranked #9820,Popularity #8819,2324,https://myanimelist.net/anime/5447/A-Girl,Music;Romance;School;Shoujo,Madhouse
Download: Devil's Circuit,DOWN LOAD 南無阿弥陀仏は愛の詩,1,Original,PG-13 - Teens 13 or older,-,OVA,Madhouse,5.76,730 ,Ranked #9333,Popularity #8882,2284,https://myanimelist.net/anime/3152/Down_Load__Namu_Amida_Butsu_wa_Ai_no_Uta,Action;Adventure;Psychological;Sci-Fi,Madhouse
-,ぴよこにおまかせぴょ！,8,Unknown,PG-13 - Teens 13 or older,-,OVA,Madhouse,6.56,806 ,Ranked #5692,Popularity #8885,2269,https://myanimelist.net/anime/1748/Piyoko_ni_Omakase_pyo,Comedy;Sci-Fi;Shounen,Madhouse
-,電脳コイル総復習,2,Original,G - All Ages,-,Special,Madhouse,6.24,634 ,Ranked #7362,Popularity #8932,2220,https://myanimelist.net/anime/13955/Dennou_Coil_Recaps,Sci-Fi;Adventure;Mystery;Comedy;Drama,Madhouse
-,うたかた花火,1,Unknown,G - All Ages,-,Music,Madhouse,6.44,1312 ,Ranked #6347,Popularity #8951,2202,https://myanimelist.net/anime/12935/Utakata_Hanabi,Music,Madhouse
-,YAWARA! Special ずっと君のことが…。,1,Manga,PG-13 - Teens 13 or older,-,Special,Madhouse,7.22,803 ,Ranked #2728,Popularity #9008,2151,https://myanimelist.net/anime/2009/Yawara__Zutto_Kimi_no_Koto_ga,Action;Slice of Life;Comedy;Sports;Drama;Martial Arts,Madhouse
Reign: The Conqueror Movie,アレクサンダー戦記 劇場版,1,Novel,R - 17+ (violence & profanity),-,Movie,Madhouse,5.93,483 ,Ranked #8750,Popularity #9085,2083,https://myanimelist.net/anime/5157/Alexander_Senki_Movie,Action;Adventure;Dementia;Historical;Military;Mystery;Shounen;Supernatural,Madhouse
-,ギャラクシーエンジェルS,1,Unknown,PG-13 - Teens 13 or older,-,OVA,Madhouse,6.86,747 ,Ranked #4286,Popularity #9089,2075,https://myanimelist.net/anime/12225/Galaxy_Angel_S,Sci-Fi;Comedy,Madhouse
The Phoenix: Chapter of Yamato,火の鳥・ヤマト編,1,Manga,PG-13 - Teens 13 or older,-,OVA,Madhouse,6.74,818 ,Ranked #4830,Popularity #9093,2074,https://myanimelist.net/anime/2999/Hi_no_Tori__Yamato-hen,Historical;Drama,Madhouse
-,ギャラクシーエンジェル,2,Game,PG-13 - Teens 13 or older,-,Special,Madhouse,6.78,802 ,Ranked #4620,Popularity #9242,1972,https://myanimelist.net/anime/13287/Galaxy_Angel_Specials,Comedy;Sci-Fi,Madhouse
Mokke Special Episodes,もっけ,2,Unknown,PG - Children,-,Special,Madhouse,6.91,751 ,Ranked #4060,Popularity #9278,1942,https://myanimelist.net/anime/4202/Mokke_Specials,Mystery;Slice of Life;Supernatural,Madhouse
-,くちからバズーカ,1,Unknown,PG-13 - Teens 13 or older,-,Special,Madhouse,6.24,786 ,Ranked #7363,Popularity #9386,1861,https://myanimelist.net/anime/1753/Di_Gi_Charat__Kuchi_Kara_Bazooka,Comedy,Madhouse
-,スティッチ！～いたずらエイリアンの大冒険～,29,Other,G - All Ages,Fall 2009,TV,Madhouse,6.14,610 ,Ranked #7848,Popularity #9389,1859,https://myanimelist.net/anime/6899/Stitch__Itazura_Alien_no_Daibouken,Adventure;Comedy;Kids;Sci-Fi,Madhouse
-,YAWARA！ それゆけ腰ぬけキッズ！！,1,Manga,PG-13 - Teens 13 or older,-,Movie,Madhouse,6.27,555 ,Ranked #7224,Popularity #9503,1781,https://myanimelist.net/anime/2008/Yawara__Sore_Yuke_Koshinuke_Kids,Slice of Life;Comedy;Sports;Martial Arts,Madhouse
Spirit Warrior,真・孔雀王,2,Unknown,R+ - Mild Nudity,-,OVA,Madhouse,5.92,557 ,Ranked #8778,Popularity #9536,1759,https://myanimelist.net/anime/3599/Shin_Kujakuou,Action;Demons;Horror,Madhouse
-,48x61 四拾八x六拾壱,1,Unknown,PG-13 - Teens 13 or older,-,ONA,Madhouse,5.28,961 ,Ranked #10640,Popularity #9562,1740,https://myanimelist.net/anime/10979/48x61,Sports;Comedy,Madhouse
-,Di Gi Charat 梅雨スペシャル,2,Unknown,G - All Ages,-,Special,Madhouse,6.45,604 ,Ranked #6282,Popularity #9599,1723,https://myanimelist.net/anime/1758/Di_Gi_Charat_Tsuyu_Specials,Comedy,Madhouse
Twilight of the Cockroaches,ゴキブリたちの黄昏,1,Original,PG-13 - Teens 13 or older,-,Movie,"Madhouse,             Animation Staff Room",5.88,485 ,Ranked #8923,Popularity #9647,1685,https://myanimelist.net/anime/4210/Gokiburi-tachi_no_Tasogare,Drama;Military,Madhouse
-,浮浪雲,1,Manga,R+ - Mild Nudity,-,Movie,"Madhouse,             Toei Animation",6.06,445 ,Ranked #8238,Popularity #9732,1631,https://myanimelist.net/anime/8500/Haguregumo,Comedy;Historical;Samurai;Seinen,Madhouse
Cinnamoroll: The Movie,シナモン the Movie,1,Unknown,G - All Ages,-,Movie,Madhouse,6.36,538 ,Ranked #6748,Popularity #9739,1633,https://myanimelist.net/anime/5848/Cinnamon_the_Movie,Fantasy,Madhouse
-,B[ボンバーマン]ビーダマン爆外伝V[ビクトリー],50,Unknown,PG-13 - Teens 13 or older,Winter 1999,TV,Madhouse,6.35,607 ,Ranked #6772,Popularity #9801,1596,https://myanimelist.net/anime/1673/Bomberman_B-Daman_Bakugaiden_Victory,Sci-Fi;Shounen,Madhouse
-,オズ,2,Manga,R - 17+ (violence & profanity),-,OVA,"Madhouse,             Studio Fantasia",5.47,401 ,Ranked #10202,Popularity #9817,1585,https://myanimelist.net/anime/2785/OZ,Action;Military;Sci-Fi;Drama;Shoujo,Madhouse
-,おとぎ銃士 赤ずきん,1,Original,PG-13 - Teens 13 or older,-,OVA,Madhouse,6.46,575 ,Ranked #6208,Popularity #9819,1579,https://myanimelist.net/anime/402/Otogi_Juushi_Akazukin_OVA,Adventure;Comedy;Magic;Fantasy,Madhouse
The Golden Bird,グリム童話 金の鳥,1,Other,G - All Ages,-,Movie,"Madhouse,             Toei Animation",6.75,495 ,Ranked #4752,Popularity #9894,1540,https://myanimelist.net/anime/3760/Grimm_Douwa__Kin_no_Tori,Adventure;Fantasy,Madhouse
-,セクシーコマンドー外伝 すごいよ!! マサルさん,2,Manga,R - 17+ (violence & profanity),-,Special,Magic Bus,6.46,732 ,Ranked #6217,Popularity #9903,1528,https://myanimelist.net/anime/1012/Sexy_Commando_Gaiden__Sugoi_yo_Masaru-san_Specials,Comedy;Martial Arts;School;Shounen,Madhouse
-,江口寿史のNANTOKA NARUDESHO!,1,Manga,R+ - Mild Nudity,-,OVA,Madhouse,5.02,460 ,Ranked #11120,Popularity #9936,1514,https://myanimelist.net/anime/5554/Eguchi_Hisashi_no_Nantoka_Narudesho,Comedy;Parody;Horror;Supernatural;Shoujo,Madhouse
Manga Fairy Tales of the World,まんが世界昔ばなし,127,Unknown,G - All Ages,Fall 1976,TV,Madhouse,7.04,324 ,Ranked #3586,Popularity #10111,1379,https://myanimelist.net/anime/6262/Manga_Sekai_Mukashibanashi,Adventure;Fantasy;Historical;Drama,Madhouse
The Enemy's the Pirates!: The Cats' Banquet,敵は海賊 ～猫たちの饗宴～,6,Novel,PG-13 - Teens 13 or older,Fall 1989,TV,"Production I.G,             Madhouse",6.18,395 ,Ranked #7638,Popularity #10141,1367,https://myanimelist.net/anime/2679/Teki_wa_Kaizoku__Neko-tachi_no_Kyouen,Sci-Fi;Comedy,Madhouse
-,GALACTIC PATROL　レンズマン,25,Unknown,PG-13 - Teens 13 or older,Fall 1984,TV,Madhouse,6.27,221 ,Ranked #7184,Popularity #10161,1353,https://myanimelist.net/anime/2769/Galactic_Patrol_Lensman,Action;Adventure;Sci-Fi,Madhouse
Marriage,Marriage ～結婚～,2,Visual novel,PG-13 - Teens 13 or older,-,OVA,"Madhouse,             Studio Junio,             DR Movie",5.37,421 ,Ranked #10463,Popularity #10179,1344,https://myanimelist.net/anime/2082/Marriage__Kekkon,Romance;Slice of Life,Madhouse
-,ＶＩＳＩＯＮ,1,Unknown,PG-13 - Teens 13 or older,-,Music,Madhouse,5.55,574 ,Ranked #9989,Popularity #10240,1306,https://myanimelist.net/anime/24139/Tokyo_Babylon__Vision,Music;Supernatural,Madhouse
-,メグミとタイヨウ 果汁グミ Tweet Love Story,1,Original,G - All Ages,-,Special,Madhouse,5.07,394 ,Ranked #11041,Popularity #10255,1300,https://myanimelist.net/anime/25265/Megumi_to_Taiyou__Kajuu_Gummi_Tweet_Love_Story,Romance;Slice of Life,Madhouse
Fairy King,妖精王,1,Manga,R+ - Mild Nudity,-,OVA,Madhouse,5.56,330 ,Ranked #9945,Popularity #10270,1290,https://myanimelist.net/anime/7818/Yousei_Ou,Fantasy;Shoujo,Madhouse
-,宝島メモリアル「夕凪と呼ばれた男」,1,Novel,G - All Ages,-,OVA,Madhouse,6.54,551 ,Ranked #5800,Popularity #10373,1237,https://myanimelist.net/anime/11685/Takarajima_Memorial__Yuunagi_to_Yobareta_Otoko,Adventure;Drama;Historical;Mystery;Supernatural,Madhouse
-,FIRESTORM　ファイアーストーム,26,Original,PG-13 - Teens 13 or older,Spring 2003,TV,Trans Arts,5.58,175 ,Ranked #9884,Popularity #10432,1198,https://myanimelist.net/anime/2382/Firestorm,Action;Military;Sci-Fi;Adventure;Mecha,Madhouse
-,SINGLES,1,Manga,PG-13 - Teens 13 or older,-,OVA,Madhouse,5.53,392 ,Ranked #10045,Popularity #10662,1091,https://myanimelist.net/anime/2101/Singles,Romance;Shoujo,Madhouse
-,マーベル フューチャー・アベンジャーズ 第2期,13,Other,PG - Children,Summer 2018,TV,Madhouse,5.89,219 ,Ranked #8881,Popularity #10700,1091,https://myanimelist.net/anime/37151/Marvel_Future_Avengers_2nd_Season,Action;Super Power;Kids,Madhouse
-,キッスは瞳にして,1,Manga,PG-13 - Teens 13 or older,-,OVA,Madhouse,5.84,342 ,Ranked #9063,Popularity #10744,1053,https://myanimelist.net/anime/2092/Kiss_wa_Hitomi_ni_Shite,Drama;Romance;Shoujo,Madhouse
-,モンスター スペシャルバージョン,2,Manga,R+ - Mild Nudity,-,Special,Madhouse,6.29,269 ,Ranked #7099,Popularity #10806,1049,https://myanimelist.net/anime/39332/Monster_Special_Edition,Drama,Madhouse
-,ジェッターマルス,27,Original,G - All Ages,Winter 1977,TV,Toei Animation,6.18,265 ,Ranked #7674,Popularity #10815,1019,https://myanimelist.net/anime/6087/Jetter_Mars,Action;Drama;Mecha;Sci-Fi,Madhouse
-,風の又三郎,1,Novel,G - All Ages,-,OVA,Madhouse,5.74,384 ,Ranked #9408,Popularity #10827,1015,https://myanimelist.net/anime/12141/Kaze_no_Matasaburou,Slice of Life;Kids;Fantasy,Madhouse
Mirage of Blaze Recap,総集編 霧杳の途,1,Light novel,PG-13 - Teens 13 or older,-,Special,Madhouse,6.18,188 ,Ranked #7670,Popularity #10837,1017,https://myanimelist.net/anime/40104/Honoo_no_Mirage__Muyou_no_Michi,Action;Historical;Supernatural;Drama;Romance;School;Shounen Ai,Madhouse
Stitch vs. Penny,スティッチ！ピーコからの挑戦状,1,Other,PG - Children,-,Special,Madhouse,5.74,346 ,Ranked #9386,Popularity #10862,1005,https://myanimelist.net/anime/8963/Stitch__Piko_Kara_no_Chousenjou,Adventure;Comedy;Kids,Madhouse
-,侍ジャイアンツ,46,Manga,PG-13 - Teens 13 or older,Fall 1973,TV,"Madhouse,             Tokyo Movie Shinsha",6.35,127 ,Ranked #6799,Popularity #10875,995,https://myanimelist.net/anime/9916/Samurai_Giants,Sports,Madhouse
-,POPS,1,Manga,PG-13 - Teens 13 or older,-,OVA,Madhouse,5.40,341 ,Ranked #10375,Popularity #10919,975,https://myanimelist.net/anime/2093/Pops,Romance;Shoujo;Slice of Life,Madhouse
-,アニメ交響詩 ジャングル大帝,1,Manga,G - All Ages,-,OVA,Madhouse,6.49,274 ,Ranked #6048,Popularity #11030,931,https://myanimelist.net/anime/13047/Anime_Koukyoushi__Jungle_Taitei,Adventure;Kids;Shounen,Madhouse
-,よなよなペンギン,1,Unknown,G - All Ages,-,Movie,Madhouse,5.79,314 ,Ranked #9228,Popularity #11086,911,https://myanimelist.net/anime/7314/Yona_Yona_Penguin,Adventure;Fantasy;Kids,Madhouse
-,メグミとタイヨウII 果汁グミ Tweet Mystery 消えたサファイアロマンの謎,1,Original,G - All Ages,-,Special,"Madhouse,             MAPPA",5.04,273 ,Ranked #11099,Popularity #11111,902,https://myanimelist.net/anime/25267/Megumi_to_Taiyou_II__Kajuu_Gummi_Tweet_Mystery_-_Kieta_Sapphire_Roman_no_Nazo,Mystery,Madhouse
-,スウィート・ヴァレリアン,8,Original,G - All Ages,-,Special,Madhouse,5.81,402 ,Ranked #9147,Popularity #11137,892,https://myanimelist.net/anime/3863/Sweet_Valerian_Specials,Comedy;Magic;Shoujo,Madhouse
-,ねずみ物語 ジョージとジェラルドの冒険,1,Picture book,G - All Ages,-,Movie,Madhouse,6.52,323 ,Ranked #5898,Popularity #11194,873,https://myanimelist.net/anime/9789/Nezumi_Monogatari__George_to_Gerald_no_Bouken,Adventure;Kids,Madhouse
The Fashion Boy is Cool,お洒落小僧は花マルッ,1,Manga,PG-13 - Teens 13 or older,-,OVA,Madhouse,5.62,325 ,Ranked #9752,Popularity #11221,864,https://myanimelist.net/anime/2091/Oshare_Kozou_wa_Hanamaru,Romance;Shoujo,Madhouse
-,夏服の少女たち,1,Unknown,PG-13 - Teens 13 or older,-,Special,Madhouse,6.17,217 ,Ranked #7715,Popularity #11242,858,https://myanimelist.net/anime/8896/Natsufuku_no_Shoujo-tachi,Drama;Historical,Madhouse
-,メグミとタイヨウIII 果汁グミ Tweet Fantasy タイムラインワールド,1,Original,G - All Ages,-,Special,"Madhouse,             MAPPA",5.10,264 ,Ranked #11004,Popularity #11375,815,https://myanimelist.net/anime/25491/Megumi_to_Taiyou_III__Kajuu_Gummi_Tweet_Fantasy_-_Timeline_World,Fantasy,Madhouse
-,お江戸はねむれない!,1,Manga,PG-13 - Teens 13 or older,-,OVA,Madhouse,5.56,299 ,Ranked #9934,Popularity #11392,816,https://myanimelist.net/anime/14181/Oedo_wa_Nemurenai,Fantasy;Historical;Drama;Shoujo,Madhouse
-,有閑倶楽部,2,Manga,PG-13 - Teens 13 or older,-,OVA,Madhouse,5.86,239 ,Ranked #8984,Popularity #11395,812,https://myanimelist.net/anime/3778/Yuukan_Club,Mystery;Comedy;School;Shoujo,Madhouse
-,あずきちゃん,1,Manga,G - All Ages,-,Movie,Madhouse,6.10,306 ,Ranked #8031,Popularity #11405,807,https://myanimelist.net/anime/6095/Azuki-chan_the_Movie,Comedy;Romance;Shoujo;Slice of Life,Madhouse
Marco Polo's Adventures,アニメーション紀行 マルコ・ポーロの冒険,43,Original,G - All Ages,Spring 1979,TV,Madhouse,6.17,154 ,Ranked #7688,Popularity #11705,714,https://myanimelist.net/anime/5935/Animation_Kikou__Marco_Polo_no_Bouken,Adventure;Historical,Madhouse
-,宝島　劇場版,1,Novel,PG - Children,-,Movie,Madhouse,6.33,171 ,Ranked #6924,Popularity #11734,708,https://myanimelist.net/anime/21255/Takarajima_Movie,Adventure;Drama;Historical;Mystery;Supernatural,Madhouse
-,幽幻怪社 事件ファイル00 始まりは妖しくも華やかに,1,Original,PG-13 - Teens 13 or older,-,Special,Madhouse,5.64,196 ,Ranked #9706,Popularity #11836,682,https://myanimelist.net/anime/15743/Yuugen_Kaisha__Jiken_File_00_-_Hajimari_wa_Ayashiku_mo_Hanayaka_ni,Adventure;Comedy;Supernatural,Madhouse
Son of Sprout,スティッチ！～いたずらエイリアンの大冒険～ 宇宙一のお兄ちゃん,1,Other,G - All Ages,-,Special,Madhouse,5.78,194 ,Ranked #9239,Popularity #11943,653,https://myanimelist.net/anime/25889/Stitch__Itazura_Alien_no_Daibouken_-_Uchuu_Ichi_no_Oniichan,Adventure;Comedy;Kids;Sci-Fi,Madhouse
Miyazawa Kenji Collection - The Acorns and the Wildcat,宮沢賢治作品集 どんぐりと山猫,1,Unknown,G - All Ages,-,OVA,Madhouse,5.88,163 ,Ranked #8916,Popularity #12061,625,https://myanimelist.net/anime/8451/Donguri_to_Yamaneko,Drama,Madhouse
-,スーパードール★リカちゃん リカちゃん絶体絶命! ドールナイツの奇跡,1,Original,G - All Ages,-,Movie,Madhouse,6.08,152 ,Ranked #8120,Popularity #12085,621,https://myanimelist.net/anime/10199/Super_Doll_Licca-chan__Licca-chan_Zettai_Zetsumei_Doll_Knights_no_Kiseki,Action;Adventure;Super Power;Kids;Magic;Fantasy;Shoujo,Madhouse
-,ヒロシマに一番電車が走った,1,Unknown,G - All Ages,-,Movie,Madhouse,N/A,- ,Ranked #15324,Popularity #12128,609,https://myanimelist.net/anime/7967/Hiroshima_ni_Ichiban_Densha_ga_Hashitta,Historical;Drama,Madhouse
-,風を抜け!,1,Unknown,PG-13 - Teens 13 or older,-,OVA,Madhouse,6.10,131 ,Ranked #8052,Popularity #12466,531,https://myanimelist.net/anime/9748/Kaze_wo_Nuke,Sports,Madhouse
-,絶望粉砕少女∞アミダ,1,Game,PG - Children,-,Music,Madhouse,6.42,234 ,Ranked #6456,Popularity #12768,479,https://myanimelist.net/anime/42156/Zetsubou_Funsai_Shoujo_∞_Amida,Action;Super Power;Drama;Fantasy,Madhouse
-,つる姫じゃ～っ！,49,Unknown,G - All Ages,Winter 1990,TV,Madhouse,N/A,- ,Ranked #13400,Popularity #12947,442,https://myanimelist.net/anime/9175/Tsuruhime_Ja,Kids;Slice of Life;Comedy;Shoujo,Madhouse
-,メイプルストーリー,1,Game,PG - Children,-,Special,Madhouse,5.50,113 ,Ranked #10125,Popularity #13275,391,https://myanimelist.net/anime/28237/MapleStory_Special,Action;Comedy;Kids;Fantasy,Madhouse
-,鬼丸 戦場に駆ける五つの青春,1,Original,PG-13 - Teens 13 or older,-,OVA,Madhouse,N/A,- ,Ranked #12093,Popularity #13894,322,https://myanimelist.net/anime/23819/Onimaru__Senjou_ni_Kakeru_Itsutsu_no_Seishun,Action;Adventure,Madhouse
-,EASY COOKING ANIMATION セイシュンの食卓,25,Unknown,G - All Ages,Summer 1989,TV,Madhouse,N/A,- ,Ranked #14767,Popularity #14208,295,https://myanimelist.net/anime/20201/Easy_Cooking_Animation__Seishun_no_Shokutaku,Comedy,Madhouse
-,ほえろブンブン,1,Unknown,G - All Ages,-,Movie,Madhouse,N/A,- ,Ranked #15341,Popularity #14322,287,https://myanimelist.net/anime/10509/Hoero_Bun_Bun_Movie,Kids,Madhouse
-,かっ飛ばせ! ドリーマーズ -カープ誕生物語-,1,Unknown,None,-,Movie,Madhouse,N/A,- ,Ranked #15822,Popularity #14610,264,https://myanimelist.net/anime/22111/Kattobase_Dreamers__Carp_Tanjou_Monogatari,Sports,Madhouse
-,よりぬきムリョウさん Girls Selection ~学園戦記ムリョウ特別編~,1,Original,PG-13 - Teens 13 or older,-,OVA,Madhouse,N/A,- ,Ranked #14932,Popularity #15634,205,https://myanimelist.net/anime/38174/Gakuen_Senki_Muryou__Yorinuki_Muryou-san_Girls_Selection,Sci-Fi;Adventure;Mecha,Madhouse
Young Alive!: iPS Cells for a New Future,Young Alive! ~iPS細胞がひらく未来~,1,Original,G - All Ages,-,Movie,"Madhouse,             Dynamo Pictures",N/A,- ,Ranked #13839,Popularity #17828,68,https://myanimelist.net/anime/42840/Young_Alive__iPS_Saibou_Ga_Hiraku_Mirai,Slice of Life,Madhouse
"Goodbye, DonGlees!",グッバイ、ドン・グリーズ！,1,Original,None,-,Movie,Madhouse,N/A,- user,Ranked N/A,Popularity #18304,862,https://myanimelist.net/anime/49345/Goodbye_DonGlees,Adventure;Fantasy,Madhouse
